PassengerId Survived Pclass Age 
334 0 3 male S
335 1 1 female S
336 0 3 male S
337 0 1 male S
338 1 1 female C
339 1 3 male S
340 0 1 male S
341 1 2 male S
342 1 1 female S
343 0 2 male S
344 0 2 male S
345 0 2 male S
346 1 2 female S
347 1 2 female S
348 1 3 female S
349 1 3 male S
350 0 3 male S
351 0 3 male S
352 0 1 male S
353 0 3 male C
354 0 3 male S
355 0 3 male C
356 0 3 male S
357 1 1 female S
358 0 2 female S
359 1 3 female Q
360 1 3 female Q
361 0 3 male S
362 0 2 male C
363 0 3 female C
364 0 3 male S
365 0 3 male Q
366 0 3 male S
367 1 1 female C
368 1 3 female C
369 1 3 female Q
370 1 1 female C
371 1 1 male C
372 0 3 male S
373 0 3 male S
374 0 1 male C
375 0 3 female S
376 1 1 female C
377 1 3 female S
378 0 1 male C
379 0 3 male C
380 0 3 male S
381 1 1 female C
382 1 3 female C
383 0 3 male S
384 1 1 female S
385 0 3 male S
386 0 2 male S
387 0 3 male S
388 1 2 female S
389 0 3 male Q
390 1 2 female C
391 1 1 male S
392 1 3 male S
393 0 3 male S
394 1 1 female C
395 1 3 female S
396 0 3 male S
397 0 3 female S
398 0 2 male S
399 0 2 male S
400 1 2 female S
401 1 3 male S
402 0 3 male S
403 0 3 female S
404 0 3 male S
405 0 3 female S
406 0 2 male S
407 0 3 male S
408 1 2 male S
409 0 3 male S
410 0 3 female S
411 0 3 male S
412 0 3 male Q
413 1 1 female Q
414 0 2 male S
415 1 3 male S
416 0 3 female S
417 1 2 female S
418 1 2 female S
419 0 2 male S
420 0 3 female S
421 0 3 male C
422 0 3 male Q
423 0 3 male S
424 0 3 female S
425 0 3 male S
426 0 3 male S
427 1 2 female S
428 1 2 female S
429 0 3 male Q
430 1 3 male S
431 1 1 male S
432 1 3 female S
433 1 2 female S
434 0 3 male S
435 0 1 male S
436 1 1 female S
437 0 3 female S
438 1 2 female S
439 0 1 male S
440 0 2 male S
441 1 2 female S
442 0 3 male S
443 0 3 male S
444 1 2 female S
445 1 3 male S
446 1 1 male S
447 1 2 female S
448 1 1 male S
449 1 3 female C
450 1 1 male S
451 0 2 male S
452 0 3 male S
453 0 1 male C
454 1 1 male C
455 0 3 male S
456 1 3 male C
457 0 1 male S
458 1 1 female S
459 1 2 female S
460 0 3 male Q
461 1 1 male S
462 0 3 male S
463 0 1 male S
464 0 2 male S
465 0 3 male S
466 0 3 male S
467 0 2 male S
468 0 1 male S
469 0 3 male Q
470 1 3 female C
471 0 3 male S
472 0 3 male S
473 1 2 female S
474 1 2 female C
475 0 3 female S
476 0 1 male S
477 0 2 male S
478 0 3 male S
479 0 3 male S
480 1 3 female S
481 0 3 male S
482 0 2 male S
483 0 3 male S
484 1 3 female S
485 1 1 male C
486 0 3 female S
487 1 1 female S
488 0 1 male C
489 0 3 male S
490 1 3 male S
491 0 3 male S
492 0 3 male S
493 0 1 male S
494 0 1 male C
495 0 3 male S
496 0 3 male C
497 1 1 female C
498 0 3 male S
499 0 1 female S
500 0 3 male S
501 0 3 male S
502 0 3 female Q
503 0 3 female Q
504 0 3 female S
505 1 1 female S
506 0 1 male C
507 1 2 female S
508 1 1 male S
509 0 3 male S
510 1 3 male S
511 1 3 male Q
512 0 3 male S
513 1 1 male S
514 1 1 female C
515 0 3 male S
516 0 1 male S
517 1 2 female S
518 0 3 male Q
519 1 2 female S
520 0 3 male S
521 1 1 female S
522 0 3 male S
523 0 3 male C
524 1 1 female C
525 0 3 male C
526 0 3 male Q
527 1 2 female S
528 0 1 male S
529 0 3 male S
530 0 2 male S
531 1 2 female S
532 0 3 male C
533 0 3 male C
534 1 3 female C
535 0 3 female S
536 1 2 female S
537 0 1 male S
538 1 1 female C
539 0 3 male S
540 1 1 female C
541 1 1 female S
542 0 3 female S
543 0 3 female S
544 1 2 male S
545 0 1 male C
546 0 1 male S
547 1 2 female S
548 1 2 male C
549 0 3 male S
550 1 2 male S
551 1 1 male C
552 0 2 male S
553 0 3 male Q
554 1 3 male C
555 1 3 female S
556 0 1 male S
557 1 1 female C
558 0 1 male C
559 1 1 female S
560 1 3 female S
561 0 3 male Q
562 0 3 male S
563 0 2 male S
564 0 3 male S
565 0 3 female S
566 0 3 male S
567 0 3 male S
568 0 3 female S
569 0 3 male C
570 1 3 male S
571 1 2 male S
572 1 1 female S
573 1 1 male S
574 1 3 female Q
575 0 3 male S
576 0 3 male S
577 1 2 female S
578 1 1 female S
579 0 3 female C
580 1 3 male S
581 1 2 female S
582 1 1 female C
583 0 2 male S
584 0 1 male C
585 0 3 male C
586 1 1 female S
587 0 2 male S
588 1 1 male C
589 0 3 male S
590 0 3 male S
591 0 3 male S
592 1 1 female C
593 0 3 male S
594 0 3 female Q
595 0 2 male S
596 0 3 male S
597 1 2 female S
598 0 3 male S
599 0 3 male C
600 1 1 male C
601 1 2 female S
602 0 3 male S
603 0 1 male S
604 0 3 male S
605 1 1 male C
606 0 3 male S
607 0 3 male S
608 1 1 male S
609 1 2 female C
610 1 1 female S
611 0 3 female S
612 0 3 male S
613 1 3 female Q
614 0 3 male Q
615 0 3 male S
616 1 2 female S
617 0 3 male S
618 0 3 female S
619 1 2 female S
620 0 2 male S
621 0 3 male C
622 1 1 male S
623 1 3 male C
624 0 3 male S
625 0 3 male S
626 0 1 male S
627 0 2 male Q
628 1 1 female S
629 0 3 male S
630 0 3 male Q
631 1 1 male S
632 0 3 male S
633 1 1 male C
634 0 1 male S
635 0 3 female S
636 1 2 female S
637 0 3 male S
638 0 2 male S
639 0 3 female S
640 0 3 male S
641 0 3 male S
642 1 1 female C
643 0 3 female S
644 1 3 male S
645 1 3 female C
646 1 1 male C
647 0 3 male S
648 1 1 male C
649 0 3 male S
650 1 3 female S
651 0 3 male S
652 1 2 female S
653 0 3 male S
654 1 3 female Q
655 0 3 female Q
656 0 2 male S
657 0 3 male S
658 0 3 female Q
659 0 2 male S
660 0 1 male C
661 1 1 male S
662 0 3 male C
663 0 1 male S
664 0 3 male S
665 1 3 male S
666 0 2 male S
667 0 2 male S
668 0 3 male S
669 0 3 male S
670 1 1 female S
671 1 2 female S
672 0 1 male S
673 0 2 male S
674 1 2 male S
675 0 2 male S
676 0 3 male S
677 0 3 male S
678 1 3 female S
679 0 3 female S
680 1 1 male C
681 0 3 female Q
682 1 1 male C
683 0 3 male S
684 0 3 male S
685 0 2 male S
686 0 2 male C
687 0 3 male S
688 0 3 male S
689 0 3 male S
690 1 1 female S
691 1 1 male S
692 1 3 female C
693 1 3 male S
694 0 3 male C
695 0 1 male S
696 0 2 male S
697 0 3 male S
698 1 3 female Q
699 0 1 male C
700 0 3 male S
701 1 1 female C
702 1 1 male S
703 0 3 female C
704 0 3 male Q
705 0 3 male S
706 0 2 male S
707 1 2 female S
708 1 1 male S
709 1 1 female S
710 1 3 male C
711 1 1 female C
712 0 1 male S
713 1 1 male S
714 0 3 male S
715 0 2 male S
716 0 3 male S
717 1 1 female C
718 1 2 female S
719 0 3 male Q
720 0 3 male S
721 1 2 female S
722 0 3 male S
723 0 2 male S
724 0 2 male S
725 1 1 male S
726 0 3 male S
727 1 2 female S
728 1 3 female Q
729 0 2 male S
730 0 3 female S
731 1 1 female S
732 0 3 male C
733 0 2 male S
734 0 2 male S
735 0 2 male S
736 0 3 male S
737 0 3 female S
738 1 1 male C
739 0 3 male S
740 0 3 male S
741 1 1 male S
742 0 1 male S
743 1 1 female C
744 0 3 male S
745 1 3 male S
746 0 1 male S
747 0 3 male S
748 1 2 female S
749 0 1 male S
750 0 3 male Q
751 1 2 female S
752 1 3 male S
753 0 3 male S
754 0 3 male S
755 1 2 female S
756 1 2 male S
757 0 3 male S
758 0 2 male S
759 0 3 male S
760 1 1 female S
761 0 3 male S
762 0 3 male S
763 1 3 male C
764 1 1 female S
765 0 3 male S
766 1 1 female S
767 0 1 male C
768 0 3 female Q
769 0 3 male Q
770 0 3 male S
771 0 3 male S
772 0 3 male S
773 0 2 female S
774 0 3 male C
775 1 2 female S
776 0 3 male S
777 0 3 male Q
778 1 3 female S
779 0 3 male Q
780 1 1 female S
781 1 3 female C
782 1 1 female S
783 0 1 male S
784 0 3 male S
785 0 3 male S
786 0 3 male S
787 1 3 female S
788 0 3 male Q
789 1 3 male S
790 0 1 male C
791 0 3 male Q
792 0 2 male S
793 0 3 female S
794 0 1 male C
795 0 3 male S
796 0 2 male S
797 1 1 female S
798 1 3 female S
799 0 3 male C
800 0 3 female S
801 0 2 male S
802 1 2 female S
803 1 1 male S
804 1 3 male C
805 1 3 male S
806 0 3 male S
807 0 1 male S
808 0 3 female S
809 0 2 male S
810 1 1 female S
811 0 3 male S
812 0 3 male S
813 0 2 male S
814 0 3 female S
815 0 3 male S
816 0 1 male S
817 0 3 female S
818 0 2 male C
819 0 3 male S
820 0 3 male S
821 1 1 female S
822 1 3 male S
823 0 1 male S
824 1 3 female S
825 0 3 male S
826 0 3 male Q
827 0 3 male S
828 1 2 male C
829 1 3 male Q
830 1 1 female 
831 1 3 female C
832 1 2 male S
833 0 3 male C
834 0 3 male S
835 0 3 male S
836 1 1 female C
837 0 3 male S
838 0 3 male S
839 1 3 male S
840 1 1 male C
841 0 3 male S
842 0 2 male S
843 1 1 female C
844 0 3 male C
845 0 3 male S
846 0 3 male S
847 0 3 male S
848 0 3 male C
849 0 2 male S
850 1 1 female C
851 0 3 male S
852 0 3 male S
853 0 3 female C
854 1 1 female S
855 0 2 female S
856 1 3 female S
857 1 1 female S
858 1 1 male S
859 1 3 female C
860 0 3 male C
861 0 3 male S
862 0 2 male S
863 1 1 female S
864 0 3 female S
865 0 2 male S
866 1 2 female S
867 1 2 female C
868 0 1 male S
869 0 3 male S
870 1 3 male S
871 0 3 male S
872 1 1 female S
873 0 1 male S
874 0 3 male S
875 1 2 female C
876 1 3 female C
877 0 3 male S
878 0 3 male S
879 0 3 male S
880 1 1 female C
881 1 2 female S
882 0 3 male S
883 0 3 female S
884 0 2 male S
885 0 3 male S
886 0 3 female Q
887 0 2 male S
888 1 1 female S
889 0 3 female S
890 1 1 male C
891 0 3 male Q
